session,condition,list_length,list_index,trial,study_list,recalled_list,rel_correct,init_correct,final_correct,forget_rate
0,constant,7,0,0,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Kucera,emotionality,Thorndike,Joelson,Yuille,DOI,Tarka",0,0,0,
0,constant,7,0,1,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","bigram,Hermann,Yuille",0,0,0,1.0
0,constant,7,0,2,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Joelson,Landauer,Intersample,emotionality,DOI,Hermann,Bickley",0,0,0,1.0
0,constant,7,0,3,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Streeter,emotionality,Intersample,Bickley,Thorndike,Battig,al",0,0,0,0.8571428571428572
0,constant,7,0,4,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Lorge,Battig,Paivio,DOI,Intersample",0,0,0,1.0
0,constant,7,0,5,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Bickley,DOI,Battig,Hermann,Kucera,Intersample",0,0,0,1.0
0,constant,7,0,6,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Hermann,Joelson,Intersample,DOI,Battig,Kucera",0,0,0,1.0
0,constant,7,0,7,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","DOI,Tarka,Madigan",0,0,0,1.0
0,constant,7,0,8,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Madigan,Joelson,Bickley,Paivio,Hermann,Intersample,DOI",0,0,0,1.0
0,constant,7,0,9,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Kucera,asymptote,Battig,DOI,emotionality,al,Landauer",0,0,0,1.0
0,constant,7,0,10,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Kucera,Intersample,Yuille,Joelson,bigram,Madigan,Streeter",0,0,0,0.8571428571428572
0,constant,7,0,11,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Paivio,Landauer,Intersample,Hermann,Tarka,Madigan",0,0,0,0.8571428571428572
0,constant,7,0,12,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Tarka,Landauer,DOI,emotionality,Bickley,Streeter,Battig",0,0,0,0.8333333333333334
0,constant,7,0,13,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Landauer,Yuille,Lorge,al,Joelson,Kucera,Intersample",0,0,0,1.0
0,constant,7,0,14,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Battig,DOI,Hermann,Intersample,Bickley",0,0,0,1.0
0,constant,7,0,15,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Madigan,Joelson,DOI,Lorge,Hermann,Streeter,Paivio",0,0,0,1.0
0,constant,7,0,16,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Joelson,DOI,Battig,Hermann,Intersample",0,0,0,1.0
0,constant,7,0,17,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Streeter,DOI,Bickley,Hermann,Madigan,Intersample,Kucera",0,0,0,0.6
0,constant,7,0,18,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","bigram,Kucera,Battig,Hermann,Thorndike,Landauer,Yuille",0,0,0,0.8571428571428572
0,constant,7,0,19,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Joelson,Battig,Hermann",0,0,0,1.0
0,constant,7,0,20,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Battig,Kucera,Hermann,DOI,Intersample,Streeter,Paivio",0,0,0,0.6666666666666667
0,constant,7,0,21,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Yuille,Joelson,Thorndike,Lorge,Landauer,Battig",0,0,0,1.0
0,constant,7,0,22,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","DOI,Lorge,Bickley,Landauer,Hermann,Streeter,Madigan",0,0,0,1.0
0,constant,7,0,23,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Lorge,Kucera,Paivio",0,0,0,1.0
0,constant,7,0,24,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Bickley,Paivio,Tarka,Kucera,Battig,Madigan,Streeter",0,0,0,1.0
0,constant,7,0,25,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Hermann,Bickley,Kucera,Joelson,DOI,Intersample,Battig",1,0,0,1.0
0,constant,7,0,26,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Thorndike,Joelson,DOI,Battig,Bickley,Landauer,Tarka",0,0,0,1.0
0,constant,7,0,27,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Joelson,Battig,DOI,Bickley",0,0,0,0.8571428571428572
0,constant,7,0,28,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Yuille,Thorndike,Hermann,al,Joelson,Streeter,emotionality",0,0,0,1.0
0,constant,7,0,29,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Kucera,Hermann,Battig,Joelson",0,0,0,1.0
0,constant,7,0,30,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","bigram,al,Intersample,Madigan,Thorndike,Kucera,Paivio",0,0,0,1.0
0,constant,7,0,31,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Battig,DOI,Joelson",0,0,0,1.0
0,constant,7,0,32,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","DOI,Bickley,Madigan",0,0,0,1.0
0,constant,7,0,33,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Hermann,Kucera,Intersample,Battig,Bickley,Joelson",1,0,0,1.0
0,constant,7,0,34,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Bickley,Joelson,Hermann,DOI,Kucera,Battig",0,0,0,1.0
0,constant,7,0,35,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","asymptote,Yuille,bigram,al,Thorndike,Streeter,Paivio",0,0,0,1.0
0,constant,7,0,36,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","emotionality,Battig,Bickley,Joelson,asymptote,bigram,Intersample",0,0,0,1.0
0,constant,7,0,37,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Landauer,Joelson,Paivio,Bickley,DOI,Intersample,Tarka",0,0,0,1.0
0,constant,7,0,38,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","DOI,Kucera,Landauer",0,0,0,1.0
0,constant,7,0,39,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Streeter,Bickley,Tarka,Paivio,Intersample,Kucera,Lorge",0,0,0,1.0
0,constant,7,0,40,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Joelson,Kucera,Intersample,Hermann,Bickley,DOI",0,0,0,1.0
0,constant,7,0,41,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Lorge,Intersample,Bickley,Joelson,Kucera,Madigan,Battig",0,0,0,1.0
0,constant,7,0,42,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Bickley,Landauer,Tarka,Thorndike,Paivio,DOI,Madigan",0,0,0,1.0
0,constant,7,0,43,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Joelson,Tarka,Intersample,Madigan,Battig,Lorge,DOI",0,0,0,1.0
0,constant,7,0,44,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Kucera,Madigan,Tarka,Hermann,Joelson,Intersample",0,0,0,1.0
0,constant,7,0,45,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Battig,Kucera,Bickley,Intersample,Hermann",0,0,0,1.0
0,constant,7,0,46,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Battig,DOI,Hermann,Bickley,Joelson",0,0,0,0.8
0,constant,7,0,47,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","DOI,Landauer,Bickley,Kucera,Battig,Joelson",0,0,0,1.0
0,constant,7,0,48,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","DOI,Paivio,Yuille,emotionality,Hermann",0,0,0,0.8333333333333334
0,constant,7,0,49,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Paivio,Kucera,Lorge,DOI,Streeter,Tarka",0,0,0,1.0
0,constant,7,0,50,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Battig,Hermann,Kucera,Bickley",0,0,0,1.0
0,constant,7,0,51,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Battig,Hermann,Kucera,Bickley,DOI",0,0,0,0.0
0,constant,7,0,52,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","DOI,Tarka,Intersample,Madigan",0,0,0,1.0
0,constant,7,0,53,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Hermann,Paivio,Bickley,Intersample,Kucera,Thorndike,Joelson",0,0,0,1.0
0,constant,7,0,54,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Tarka,Bickley,DOI,Streeter,Hermann,Joelson,Paivio",0,0,0,1.0
0,constant,7,0,55,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Lorge,Streeter,Madigan,Paivio,Battig,Joelson,Hermann",0,0,0,0.8571428571428572
0,constant,7,0,56,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","emotionality,DOI,Intersample,asymptote",0,0,0,1.0
0,constant,7,0,57,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Bickley,Joelson,Battig,Hermann,Kucera,DOI,Intersample",0,0,0,1.0
0,constant,7,0,58,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Intersample,Bickley,Joelson,Madigan,Streeter,al,Yuille",0,1,0,1.0
0,constant,7,0,59,"Intersample,Battig,yorku,preprint,Lorge,Tarka,etal","Battig,Joelson,al,Tarka,Hermann,Thorndike,Madigan",0,0,0,1.0
